School_Code,Subject_Offered,subject_category
7101,"Chinese Language",Language
7101,"English Language",Language
7101,Geography,Humanities
7101,"Higher Chinese Language",Language
7101,"Higher Music",Art
7101,History,Humanities
7101,"Literature in Chinese",Humanities
7101,"Literature in English",Humanities
7101,Mathematics,Math
7101,"Malay Language (Special Programme)",Language
7101,Music,Art
7101,Physics,Science
7101,"Humanities (Ss, Geography)",Humanities
7101,"Humanities (Ss, History)",Humanities
7101,"Humanities (Ss, Literature in Chinese)",Humanities
7101,"Humanities (Ss, Literature in English)",Humanities
7101,"Physical Education",Others
7032,Art,Art
7032,"Chinese Language Syllabus B",Language
7032,"Design & Technology",Science
7032,"Food & Consumer Education",Others
7032,"Basic Chinese Language",Language
7032,"Computer Applications",Science
7032,"Elements of Business Skills",Others
7032,"English Language",Language
7032,Mathematics,Math
7032,"Basic Malay Language",Language
7032,"Mobile Robotics",Science
7032,Science,Science
7032,"Social Studies",Humanities
7032,"Basic Tamil Language",Language
7032,"Additional Mathematics",Math
7032,"Chinese Language",Language
7032,Geography,Humanities
7032,History,Humanities
7032,"Literature in English",Humanities
7032,"Malay Language",Language
7032,"Nutrition and Food Science",Science
7032,"Principles of Accounts",Math
7032,"Science (Phy, Chem)",Science
7032,"Humanities (Ss, Geography)",Humanities
7032,"Humanities (Ss, History)",Humanities
7032,"Humanities (Ss, Literature in English)",Humanities
7032,"Tamil Language",Language
7032,Biology,Science
7032,Chemistry,Science
7032,Computing,Science
7032,Physics,Science
7032,"Science (Chem, Bio)",Science
7032,"Malay Language Syllabus B",Language
7032,Music,Art
7032,"Physical Education",Others
7032,"Tamil Language Syllabus B",Language
7001,"Chinese Language Syllabus B",Language
7001,"Additional Mathematics",Math
7001,Biology,Science
7001,Chemistry,Science
7001,"Chinese Language",Language
7001,"English Language",Language
7001,Geography,Humanities
7001,"Higher Chinese Language",Language
7001,"Higher Music",Art
7001,History,Humanities
7001,"Higher Malay Language",Language
7001,"Higher Tamil Language",Language
7001,"Literature in English",Humanities
7001,Mathematics,Math
7001,"Malay Language",Language
7001,"Malay Language (Special Programme)",Language
7001,Physics,Science
7001,"Humanities (Ss, Geography)",Humanities
7001,"Humanities (Ss, History)",Humanities
7001,"Humanities (Ss, Literature in English)",Humanities
7001,"Tamil Language",Language
7001,"Malay Language Syllabus B",Language
7001,Music,Art
7002,Art,Art
7002,"Chinese Language Syllabus B",Language
7002,"Design & Technology",Science
7002,"Food & Consumer Education",Others
7002,"Basic Chinese Language",Language
7002,"Computer Applications",Science
7002,"Elements of Business Skills",Others
7002,Mathematics,Math
7002,"Basic Malay Language",Language
7002,Science,Science
7002,"Social Studies",Humanities
7002,"Chinese Language",Language
7002,Geography,Humanities
7002,History,Humanities
7002,"Literature in English",Humanities
7002,"Malay Language",Language
7002,"Science (Chem, Bio)",Science
7002,"Science (Phy, Chem)",Science
7002,"Humanities (Ss, Geography)",Humanities
7002,"Humanities (Ss, History)",Humanities
7002,"Additional Mathematics",Math
7002,Biology,Science
7002,Chemistry,Science
7002,"English Language",Language
7002,"Higher Chinese Language",Language
7002,Physics,Science
7002,"Humanities (Ss, Literature in English)",Humanities
7002,Music,Art
7804,"Mathematics B",Math
7804,"Mathematics C",Math
7804,"Infocom Technology",Science
7804,"Montfort Development Program",Others
7804,"Performing Arts",Art
7804,"Sip: Basic Baking Skills",Others
3002,"Applied Learning Programme",Others
3002,"Chinese Language Syllabus B",Language
3002,Art,Art
3002,"Basic Chinese Language",Language
3002,"Computer Applications",Science
3002,"Design & Technology",Science
3002,"Elements of Business Skills",Others
3002,"English Language",Language
3002,"Food & Consumer Education",Others
3002,Mathematics,Math
3002,"Basic Malay Language",Language
3002,Music,Art
3002,"Mobile Robotics",Science
3002,Science,Science
3002,"Social Studies",Humanities
3002,"Basic Tamil Language",Language
3002,"Chinese Language",Language
3002,Geography,Humanities
3002,History,Humanities
3002,"Literature in English",Humanities
3002,"Malay Language",Language
3002,"Nutrition and Food Science",Science
3002,"Principles of Accounts",Math
3002,"Science (Chem, Bio)",Science
3002,"Science (Phy, Chem)",Science
3002,"Humanities (Ss, Geography)",Humanities
3002,"Humanities (Ss, History)",Humanities
3002,"Tamil Language",Language
3002,"Additional Mathematics",Math
3002,Biology,Science
3002,Chemistry,Science
3002,"Higher Chinese Language",Language
3002,Physics,Science
3002,"Malay Language Syllabus B",Language
3002,"Physical Education",Others
3002,"Tamil Language Syllabus B",Language
3003,"Chinese Language Syllabus B",Language
3003,"Basic Chinese Language",Language
3003,"Computer Applications",Science
3003,"Design & Technology",Science
3003,"Elements of Business Skills",Others
3003,"English Language",Language
3003,"Smart Electrical Technology",Science
3003,"Food & Consumer Education",Others
3003,Mathematics,Math
3003,"Basic Malay Language",Language
3003,"Nutrition and Food Science",Science
3003,Science,Science
3003,"Basic Tamil Language",Language
3003,"Additional Mathematics",Math
3003,Art,Art
3003,Geography,Humanities
3003,"Literature in English",Humanities
3003,"Malay Language",Language
3003,"Principles of Accounts",Math
3003,"Science (Chem, Bio)",Science
3003,"Science (Phy, Chem)",Science
3003,"Humanities (Ss, Geography)",Humanities
3003,"Humanities (Ss, History)",Humanities
3003,"Tamil Language",Language
3003,Biology,Science
3003,Chemistry,Science
3003,"Chinese Language",Language
3003,"Higher Chinese Language",Language
3003,"Higher Malay Language",Language
3003,"Higher Tamil Language",Language
3003,Physics,Science
3003,Music,Art
3003,"Physical Education",Others
3003,"Tamil Language Syllabus B",Language
3069,Art,Art
3069,"Design & Technology",Science
3069,"Food & Consumer Education",Others
3069,"Basic Chinese Language",Language
3069,"Computer Applications",Science
3069,"Elements of Business Skills",Others
3069,"English Language",Language
3069,"Smart Electrical Technology",Science
3069,Mathematics,Math
3069,"Basic Malay Language",Language
3069,Science,Science
3069,"Social Studies",Humanities
3069,"Basic Tamil Language",Language
3069,"Additional Mathematics",Math
3069,"Chinese Language",Language
3069,"Malay Language",Language
3069,"Nutrition and Food Science",Science
3069,"Principles of Accounts",Math
3069,"Science (Chem, Bio)",Science
3069,"Science (Phy, Bio)",Science
3069,"Science (Phy, Chem)",Science
3069,"Humanities (Ss, Geography)",Humanities
3069,"Humanities (Ss, History)",Humanities
3069,"Humanities (Ss, Literature in English)",Humanities
3069,"Tamil Language",Language
3069,Biology,Science
3069,Chemistry,Science
3069,"Exercise & Sports Science",Others
3069,Geography,Humanities
3069,History,Humanities
3069,Physics,Science
3069,Music,Art
3069,"Physical Education",Others
3027,"Basic Chinese Language",Language
3027,"Computer Applications",Science
3027,"Design & Technology",Science
3027,"Elements of Business Skills",Others
3027,"English Language",Language
3027,"Food & Consumer Education",Others
3027,Mathematics,Math
3027,"Basic Malay Language",Language
3027,Science,Science
3027,"Social Studies",Humanities
3027,"Additional Mathematics",Math
3027,Art,Art
3027,"Chinese Language",Language
3027,"Malay Language",Language
3027,"Nutrition and Food Science",Science
3027,"Principles of Accounts",Math
3027,"Science (Chem, Bio)",Science
3027,"Science (Phy, Chem)",Science
3027,"Humanities (Ss, Geography)",Humanities
3027,"Humanities (Ss, History)",Humanities
3027,Biology,Science
3027,Chemistry,Science
3027,Geography,Humanities
3027,"Higher Chinese Language",Language
3027,History,Humanities
3027,"Literature in English",Humanities
3027,Physics,Science
3027,Music,Art
3027,"Physical Education",Others
3225,"Chinese Language Syllabus B",Language
3225,"Computer Applications",Science
3225,"Additional Mathematics",Math
3225,Art,Art
3225,"Chinese Language",Language
3225,"Design & Technology",Science
3225,"English Language",Language
3225,"Food & Consumer Education",Others
3225,Geography,Humanities
3225,History,Humanities
3225,"Literature in English",Humanities
3225,Mathematics,Math
3225,"Malay Language",Language
3225,"Nutrition and Food Science",Science
3225,"Principles of Accounts",Math
3225,Science,Science
3225,"Science (Chem, Bio)",Science
3225,"Science (Phy, Chem)",Science
3225,"Humanities (Ss, Geography)",Humanities
3225,"Tamil Language",Language
3225,Biology,Science
3225,Chemistry,Science
3225,"Higher Chinese Language",Language
3225,"Higher Malay Language",Language
3225,Physics,Science
3225,"Humanities (Ss, History)",Humanities
3225,"Humanities (Ss, Literature in English)",Humanities
3225,"Malay Language Syllabus B",Language
3225,Music,Art
3225,"Physical Education",Others
3225,"Tamil Language Syllabus B",Language
3021,Art,Art
3021,"Basic Chinese Language",Language
3021,"Computer Applications",Science
3021,"Design & Technology",Science
3021,"Elements of Business Skills",Others
3021,"English Language",Language
3021,"Food & Consumer Education",Others
3021,Mathematics,Math
3021,"Basic Malay Language",Language
3021,Science,Science
3021,"Social Studies",Humanities
3021,"Basic Tamil Language",Language
3021,"Chinese Language",Language
3021,Geography,Humanities
3021,History,Humanities
3021,"Literature in English",Humanities
3021,"Malay Language",Language
3021,"Nutrition and Food Science",Science
3021,"Principles of Accounts",Math
3021,"Science (Phy, Chem)",Science
3021,"Humanities (Ss, Geography)",Humanities
3021,"Humanities (Ss, History)",Humanities
3021,"Tamil Language",Language
3021,"Additional Mathematics",Math
3021,Biology,Science
3021,Chemistry,Science
3021,"Higher Chinese Language",Language
3021,"Higher Tamil Language",Language
3021,Physics,Science
3021,"Science (Chem, Bio)",Science
3224,"Chinese Language Syllabus B",Language
3224,Art,Art
3224,"Basic Chinese Language",Language
3224,"Computer Applications",Science
3224,"Design & Technology",Science
3224,"Elements of Business Skills",Others
3224,"English Language",Language
3224,"Food & Consumer Education",Others
3224,Mathematics,Math
3224,"Basic Malay Language",Language
3224,Science,Science
3224,"Social Studies",Humanities
3224,"Basic Tamil Language",Language
3224,"Additional Mathematics",Math
3224,"Chinese Language",Language
3224,Geography,Humanities
3224,History,Humanities
3224,"Literature in English",Humanities
3224,"Malay Language",Language
3224,"Nutrition and Food Science",Science
3224,"Principles of Accounts",Math
3224,"Science (Chem, Bio)",Science
3224,"Science (Phy, Chem)",Science
3224,"Humanities (Ss, Geography)",Humanities
3224,"Humanities (Ss, History)",Humanities
3224,"Humanities (Ss, Literature in English)",Humanities
3224,"Tamil Language",Language
3224,Biology,Science
3224,Chemistry,Science
3224,Computing,Science
3224,"Exercise & Sports Science",Others
3224,"Higher Chinese Language",Language
3224,Physics,Science
3224,Music,Art
3224,"Physical Education",Others
3043,Art,Art
3043,"Design & Technology",Science
3043,"Food & Consumer Education",Others
3043,"Basic Chinese Language",Language
3043,"Computer Applications",Science
3043,"Elements of Business Skills",Others
3043,"English Language",Language
3043,Mathematics,Math
3043,"Basic Malay Language",Language
3043,Science,Science
3043,"Social Studies",Humanities
3043,"Basic Tamil Language",Language
3043,"Additional Mathematics",Math
3043,"Chinese Language",Language
3043,Geography,Humanities
3043,History,Humanities
3043,"Literature in English",Humanities
3043,"Malay Language",Language
3043,"Nutrition and Food Science",Science
3043,"Science (Chem, Bio)",Science
3043,"Science (Phy, Chem)",Science
3043,"Humanities (Ss, Geography)",Humanities
3043,"Humanities (Ss, History)",Humanities
3043,"Humanities (Ss, Literature in English)",Humanities
3043,"Tamil Language",Language
3043,Biology,Science
3043,Chemistry,Science
3043,"Higher Chinese Language",Language
3043,"Higher Malay Language",Language
3043,"Higher Tamil Language",Language
3043,Physics,Science
3043,Music,Art
3043,"Physical Education",Others
3202,"Basic Chinese Language",Language
3202,"Computer Applications",Science
3202,"English Language",Language
3202,Mathematics,Math
3202,"Basic Malay Language",Language
3202,Science,Science
3202,"Basic Tamil Language",Language
3202,Art,Art
3202,"Chinese Language",Language
3202,Geography,Humanities
3202,History,Humanities
3202,"Malay Language",Language
3202,"Principles of Accounts",Math
3202,"Science (Chem, Bio)",Science
3202,"Science (Phy, Chem)",Science
3202,"Humanities (Ss, Geography)",Humanities
3202,"Humanities (Ss, History)",Humanities
3202,"Tamil Language",Language
3202,"Additional Mathematics",Math
3202,Biology,Science
3202,Chemistry,Science
3202,"Literature in English",Humanities
3202,Physics,Science
3202,Music,Art
3202,"Physical Education",Others
3044,"Applied Learning Programme",Others
3044,"Basic Chinese Language",Language
3044,"Computer Applications",Science
3044,"Design & Technology",Science
3044,"Elements of Business Skills",Others
3044,"English Language",Language
3044,"Food & Consumer Education",Others
3044,Mathematics,Math
3044,"Basic Malay Language",Language
3044,Science,Science
3044,"Basic Tamil Language",Language
3044,"Additional Mathematics",Math
3044,Art,Art
3044,"Chinese Language",Language
3044,"Malay Language",Language
3044,"Nutrition and Food Science",Science
3044,"Principles of Accounts",Math
3044,"Science (Phy, Chem)",Science
3044,"Humanities (Ss, Geography)",Humanities
3044,"Humanities (Ss, History)",Humanities
3044,"Tamil Language",Language
3044,Biology,Science
3044,Chemistry,Science
3044,Geography,Humanities
3044,"Higher Chinese Language",Language
3044,"Literature in English",Humanities
3044,"Malay Language (Special Programme)",Language
3044,Physics,Science
3044,Music,Art
3044,"Physical Education",Others
3203,"Chinese Language Syllabus B",Language
3203,Art,Art
3203,"Basic Chinese Language",Language
3203,"Computer Applications",Science
3203,"Design & Technology",Science
3203,"Elements of Business Skills",Others
3203,"English Language",Language
3203,"Food & Consumer Education",Others
3203,Mathematics,Math
3203,"Basic Malay Language",Language
3203,Science,Science
3203,"Social Studies",Humanities
3203,"Basic Tamil Language",Language
3203,"Additional Mathematics",Math
3203,"Chinese Language",Language
3203,Geography,Humanities
3203,History,Humanities
3203,"Literature in English",Humanities
3203,"Malay Language",Language
3203,"Nutrition and Food Science",Science
3203,"Principles of Accounts",Math
3203,"Science (Chem, Bio)",Science
3203,"Science (Phy, Bio)",Science
3203,"Science (Phy, Chem)",Science
3203,"Humanities (Ss, Geography)",Humanities
3203,"Humanities (Ss, History)",Humanities
3203,"Tamil Language",Language
3203,Biology,Science
3203,Chemistry,Science
3203,Physics,Science
3203,Music,Art
3204,"Chinese Language Syllabus B",Language
3204,Art,Art
3204,"Basic Chinese Language",Language
3204,"Computer Applications",Science
3204,"Design & Technology",Science
3204,"Elements of Business Skills",Others
3204,"English Language",Language
3204,Mathematics,Math
3204,"Basic Malay Language",Language
3204,"Social Studies",Humanities
3204,"Additional Mathematics",Math
3204,"Chinese Language",Language
3204,"Malay Language",Language
3204,"Principles of Accounts",Math
3204,"Science (Chem, Bio)",Science
3204,"Science (Phy, Chem)",Science
3204,"Humanities (Ss, Geography)",Humanities
3204,"Humanities (Ss, History)",Humanities
3204,"Humanities (Ss, Literature in English)",Humanities
3204,Biology,Science
3204,Chemistry,Science
3204,Geography,Humanities
3204,"Higher Chinese Language",Language
3204,"Higher Art",Art
3204,History,Humanities
3204,"Higher Malay Language",Language
3204,"Literature in English",Humanities
3204,Physics,Science
3204,"Humanities (Ss, Literature in Chinese)",Humanities
3204,"Humanities (Ss, Literature in Malay)",Humanities
3204,"Malay Language Syllabus B",Language
3040,"Chinese Language Syllabus B",Language
3040,Art,Art
3040,"Basic Chinese Language",Language
3040,"Computer Applications",Science
3040,"Design & Technology",Science
3040,"Elements of Business Skills",Others
3040,"English Language",Language
3040,"Food & Consumer Education",Others
3040,Mathematics,Math
3040,"Basic Malay Language",Language
3040,Science,Science
3040,"Social Studies",Humanities
3040,"Basic Tamil Language",Language
3040,"Additional Mathematics",Math
3040,Geography,Humanities
3040,History,Humanities
3040,"Literature in English",Humanities
3040,"Malay Language",Language
3040,"Nutrition and Food Science",Science
3040,"Principles of Accounts",Math
3040,"Science (Chem, Bio)",Science
3040,"Science (Phy, Chem)",Science
3040,"Humanities (Ss, Geography)",Humanities
3040,"Humanities (Ss, History)",Humanities
3040,"Humanities (Ss, Literature in English)",Humanities
3040,"Tamil Language",Language
3040,Biology,Science
3040,Chemistry,Science
3040,"Chinese Language",Language
3040,Computing,Science
3040,"Higher Chinese Language",Language
3040,"Higher Malay Language",Language
3040,"Higher Tamil Language",Language
3040,Music,Art
3040,Physics,Science
3040,"Malay Language Syllabus B",Language
3040,"Tamil Language Syllabus B",Language
3621,Art,Art
3621,"Chinese Language Syllabus B",Language
3621,"Basic Chinese Language",Language
3621,"Computer Applications",Science
3621,"Design & Technology",Science
3621,"English Language",Language
3621,"Food & Consumer Education",Others
3621,Mathematics,Math
3621,"Basic Malay Language",Language
3621,Science,Science
3621,"Social Studies",Humanities
3621,"Chinese Language",Language
3621,"Malay Language",Language
3621,"Nutrition and Food Science",Science
3621,"Science (Phy, Chem)",Science
3621,"Humanities (Ss, Geography)",Humanities
3621,"Additional Mathematics",Math
3621,Biology,Science
3621,Chemistry,Science
3621,Geography,Humanities
3621,"Literature in English",Humanities
3621,Physics,Science
3621,"Science (Chem, Bio)",Science
3621,"Humanities (Ss, History)",Humanities
3621,Music,Art
3621,"Physical Education",Others
7102,Art,Art
7102,"Design & Technology",Science
7102,"Food & Consumer Education",Others
7102,"Art (Ip)",Art
7102,"Appreciation of Chinese Culture",Humanities
7102,"Additional Mathematics",Math
7102,Biology,Science
7102,Chemistry,Science
7102,"Chinese Language",Language
7102,"English Language",Language
7102,"Exercise & Sports Science",Others
7102,Geography,Humanities
7102,"Higher Chinese Language",Language
7102,"Higher Music",Art
7102,History,Humanities
7102,"Literature in Chinese",Humanities
7102,"Literature in English",Humanities
7102,Mathematics,Math
7102,Music,Art
7102,Physics,Science
7102,Science,Science
7102,"Humanities (Ss, Geography)",Humanities
7102,"Humanities (Ss, History)",Humanities
7102,"Humanities (Ss, Literature in English)",Humanities
7102,"Physical Education",Others
3004,"Regional Studies Programme",Humanities
3004,"Additional Mathematics",Math
3004,Art,Art
3004,Biology,Science
3004,Chemistry,Science
3004,"Chinese Language",Language
3004,"Chinese Language (Special Programme)",Language
3004,"Design & Technology",Science
3004,"English Language",Language
3004,"Food & Consumer Education",Others
3004,Geography,Humanities
3004,"Higher Chinese Language",Language
3004,History,Humanities
3004,"Higher Malay Language",Language
3004,"Higher Tamil Language",Language
3004,"Literature in English",Humanities
3004,Mathematics,Math
3004,"Malay Language",Language
3004,"Malay Language (Special Programme)",Language
3004,Physics,Science
3004,Science,Science
3004,"Science (Chem, Bio)",Science
3004,"Science (Phy, Chem)",Science
3004,"Humanities (Ss, Geography)",Humanities
3004,"Humanities (Ss, History)",Humanities
3004,"Tamil Language",Language
3004,"Physical Education",Others
3402,"Computer Applications",Science
3402,"Design & Technology",Science
3402,"English Language",Language
3402,"Food & Consumer Education",Others
3402,Mathematics,Math
3402,Science,Science
3402,"Social Studies",Humanities
3402,"Additional Mathematics",Math
3402,Art,Art
3402,"Chinese Language",Language
3402,"Malay Language",Language
3402,"Nutrition and Food Science",Science
3402,"Principles of Accounts",Math
3402,"Science (Chem, Bio)",Science
3402,"Science (Phy, Chem)",Science
3402,"Humanities (Ss, Geography)",Humanities
3402,"Humanities (Ss, History)",Humanities
3402,"Tamil Language",Language
3402,Biology,Science
3402,Chemistry,Science
3402,"Chinese Language (Special Programme)",Language
3402,"Literature in English",Humanities
3402,Physics,Science
3402,Music,Art
3402,"Physical Education",Others
7008,"Chinese Language Syllabus B",Language
7008,"Basic Chinese Language",Language
7008,"Computer Applications",Science
7008,"Elements of Business Skills",Others
7008,"English Language",Language
7008,Mathematics,Math
7008,"Basic Malay Language",Language
7008,Science,Science
7008,"Social Studies",Humanities
7008,"Additional Mathematics",Math
7008,Art,Art
7008,"Chinese Language",Language
7008,Geography,Humanities
7008,History,Humanities
7008,"Literature in English",Humanities
7008,"Malay Language",Language
7008,"Principles of Accounts",Math
7008,"Science (Chem, Bio)",Science
7008,"Humanities (Ss, Geography)",Humanities
7008,"Humanities (Ss, Literature in English)",Humanities
7008,Biology,Science
7008,Chemistry,Science
7008,Drama,Art
7008,"Higher Chinese Language",Language
7008,Physics,Science
7008,"Humanities (Ss, History)",Humanities
7004,Drama,Art
7004,Art,Art
7004,"Chinese Language Syllabus B",Language
7004,"Design & Technology",Science
7004,"Food & Consumer Education",Others
7004,"Basic Chinese Language",Language
7004,"Computer Applications",Science
7004,"Elements of Business Skills",Others
7004,"English Language",Language
7004,Mathematics,Math
7004,"Basic Malay Language",Language
7004,Science,Science
7004,"Basic Tamil Language",Language
7004,"Chinese Language",Language
7004,"Malay Language",Language
7004,"Principles of Accounts",Math
7004,"Science (Phy, Chem)",Science
7004,"Humanities (Ss, Geography)",Humanities
7004,"Humanities (Ss, History)",Humanities
7004,"Humanities (Ss, Literature in English)",Humanities
7004,"Tamil Language",Language
7004,"Additional Mathematics",Math
7004,Biology,Science
7004,Chemistry,Science
7004,Geography,Humanities
7004,"Higher Chinese Language",Language
7004,"Higher Art",Art
7004,History,Humanities
7004,"Literature in English",Humanities
7004,Physics,Science
7019,Art,Art
7019,"Food & Consumer Education",Others
7019,"Basic Chinese Language",Language
7019,"Computer Applications",Science
7019,"Elements of Business Skills",Others
7019,"English Language",Language
7019,Mathematics,Math
7019,"Basic Malay Language",Language
7019,Science,Science
7019,"Basic Tamil Language",Language
7019,"Additional Mathematics",Math
7019,"Chinese Language",Language
7019,"Literature in English",Humanities
7019,"Malay Language",Language
7019,"Science (Chem, Bio)",Science
7019,"Science (Phy, Chem)",Science
7019,"Humanities (Ss, Geography)",Humanities
7019,"Humanities (Ss, History)",Humanities
7019,"Tamil Language",Language
7019,Biology,Science
7019,Chemistry,Science
7019,Geography,Humanities
7019,"Higher Chinese Language",Language
7019,Physics,Science
7019,"Physical Education",Others
7118,"Aesthetics(Design & Technology)",Art
7118,Aesthetics(Music),Art
7118,Aesthetics(Art),Art
7118,"Aesthetics(Food & Consumer Education)",Art
7118,Art,Art
7118,"Appreciation of Chinese Culture",Humanities
7118,"Additional Mathematics",Math
7118,Biology,Science
7118,Chemistry,Science
7118,"Chinese Language",Language
7118,"Design & Technology",Science
7118,"English Language",Language
7118,"Exercise & Sports Science",Others
7118,"Food & Consumer Education",Others
7118,Geography,Humanities
7118,"Higher Chinese Language",Language
7118,"Higher Music",Art
7118,History,Humanities
7118,"Literature in Chinese",Humanities
7118,"Literature in English",Humanities
7118,Mathematics,Math
7118,Physics,Science
7118,Science,Science
7118,"Humanities (Ss, Geography)",Humanities
7118,"Humanities (Ss, History)",Humanities
7118,"Humanities (Ss, Literature in Chinese)",Humanities
7118,"Humanities (Ss, Literature in English)",Humanities
7118,Music,Art
7118,"Physical Education",Others
7023,Art,Art
7023,"Design & Technology",Science
7023,"Food & Consumer Education",Others
7023,"Basic Chinese Language",Language
7023,"Computer Applications",Science
7023,"Elements of Business Skills",Others
7023,"English Language",Language
7023,Mathematics,Math
7023,"Basic Malay Language",Language
7023,Music,Art
7023,Science,Science
7023,"Social Studies",Humanities
7023,"Basic Tamil Language",Language
7023,"Additional Mathematics",Math
7023,"Chinese Language",Language
7023,"Literature in English",Humanities
7023,"Malay Language",Language
7023,"Principles of Accounts",Math
7023,"Science (Chem, Bio)",Science
7023,"Science (Phy, Chem)",Science
7023,"Humanities (Ss, Geography)",Humanities
7023,"Humanities (Ss, History)",Humanities
7023,"Tamil Language",Language
7023,Biology,Science
7023,Chemistry,Science
7023,"Exercise & Sports Science",Others
7023,Geography,Humanities
7023,"Higher Chinese Language",Language
7023,History,Humanities
7023,"Nutrition and Food Science",Science
7023,Physics,Science
7023,"Humanities (Ss, Literature in English)",Humanities
7023,"Physical Education",Others
7025,"Design & Technology",Science
7025,"Food & Consumer Education",Others
7025,"Basic Chinese Language",Language
7025,"Computer Applications",Science
7025,"Elements of Business Skills",Others
7025,"English Language",Language
7025,Mathematics,Math
7025,"Basic Malay Language",Language
7025,Science,Science
7025,"Social Studies",Humanities
7025,"Basic Tamil Language",Language
7025,"Additional Mathematics",Math
7025,Art,Art
7025,"Chinese Language",Language
7025,"Malay Language",Language
7025,"Principles of Accounts",Math
7025,"Science (Phy, Chem)",Science
7025,"Humanities (Ss, Geography)",Humanities
7025,"Humanities (Ss, History)",Humanities
7025,"Tamil Language",Language
7025,Biology,Science
7025,Chemistry,Science
7025,"Higher Chinese Language",Language
7025,"Literature in English",Humanities
7025,"Nutrition and Food Science",Science
7025,Physics,Science
7025,"Science (Chem, Bio)",Science
7025,Music,Art
7025,"Physical Education",Others
3055,Art,Art
3055,"Chinese Language Syllabus B",Language
3055,"Design & Technology",Science
3055,"Food & Consumer Education",Others
3055,"Basic Chinese Language",Language
3055,"Computer Applications",Science
3055,"Elements of Business Skills",Others
3055,"English Language",Language
3055,Mathematics,Math
3055,"Basic Malay Language",Language
3055,"Mobile Robotics",Science
3055,Science,Science
3055,"Social Studies",Humanities
3055,"Basic Tamil Language",Language
3055,"Additional Mathematics",Math
3055,"Chinese Language",Language
3055,Geography,Humanities
3055,History,Humanities
